match_number,round,group_code,home_team_label,away_team_label,kickoff_at,venue
1,Gruppenphase,A,Mexiko,Südafrika,2026-06-11T21:00:00+02:00,Mexico City
2,Gruppenphase,A,Südkorea,Tschechien,2026-06-12T04:00:00+02:00,Guadalajara
3,Gruppenphase,B,Kanada,Bosnien/Herzeg.,2026-06-12T21:00:00+02:00,Toronto
4,Gruppenphase,D,USA,Paraguay,2026-06-13T03:00:00+02:00,Los Angeles
5,Gruppenphase,C,Haiti,Schottland,2026-06-14T03:00:00+02:00,Boston
6,Gruppenphase,D,Australien,Türkei,2026-06-14T06:00:00+02:00,Vancouver
7,Gruppenphase,C,Brasilien,Marokko,2026-06-14T00:00:00+02:00,New York/New Jersey
8,Gruppenphase,B,Katar,Schweiz,2026-06-13T21:00:00+02:00,San Francisco Bay Area
9,Gruppenphase,E,Elfenbeinküste,Ecuador,2026-06-15T01:00:00+02:00,Philadelphia
10,Gruppenphase,E,Deutschland,Curaçao,2026-06-14T19:00:00+02:00,Houston
11,Gruppenphase,F,Niederlande,Japan,2026-06-14T22:00:00+02:00,Dallas
12,Gruppenphase,F,Schweden,Tunesien,2026-06-15T04:00:00+02:00,Monterrey
13,Gruppenphase,H,Saudi-Arabien,Uruguay,2026-06-16T00:00:00+02:00,Miami
14,Gruppenphase,H,Spanien,Kap Verde,2026-06-15T18:00:00+02:00,Atlanta
15,Gruppenphase,G,IR Iran,Neuseeland,2026-06-16T03:00:00+02:00,Los Angeles
16,Gruppenphase,G,Belgien,Ägypten,2026-06-15T21:00:00+02:00,Seattle
17,Gruppenphase,I,Frankreich,Senegal,2026-06-16T21:00:00+02:00,New York/New Jersey
18,Gruppenphase,I,Irak,Norwegen,2026-06-17T00:00:00+02:00,Boston
19,Gruppenphase,J,Argentinien,Algerien,2026-06-17T03:00:00+02:00,Kansas City
20,Gruppenphase,J,Österreich,Jordanien,2026-06-17T06:00:00+02:00,San Francisco Bay Area
21,Gruppenphase,L,Ghana,Panama,2026-06-18T01:00:00+02:00,Toronto
22,Gruppenphase,L,England,Kroatien,2026-06-17T22:00:00+02:00,Dallas
23,Gruppenphase,K,Portugal,DR Kongo,2026-06-17T19:00:00+02:00,Houston
24,Gruppenphase,K,Usbekistan,Kolumbien,2026-06-18T04:00:00+02:00,Mexico City
25,Gruppenphase,A,Tschechien,Südafrika,2026-06-18T18:00:00+02:00,Atlanta
26,Gruppenphase,B,Schweiz,Bosnien/Herzeg.,2026-06-18T21:00:00+02:00,Los Angeles
27,Gruppenphase,B,Kanada,Katar,2026-06-19T00:00:00+02:00,Vancouver
28,Gruppenphase,A,Mexiko,Südkorea,2026-06-19T03:00:00+02:00,Guadalajara
29,Gruppenphase,C,Brasilien,Haiti,2026-06-20T02:30:00+02:00,Philadelphia
30,Gruppenphase,C,Schottland,Marokko,2026-06-20T00:00:00+02:00,Boston
31,Gruppenphase,D,Türkei,Paraguay,2026-06-20T05:00:00+02:00,San Francisco Bay Area
32,Gruppenphase,D,USA,Australien,2026-06-19T21:00:00+02:00,Seattle
33,Gruppenphase,E,Deutschland,Elfenbeinküste,2026-06-20T22:00:00+02:00,Toronto
34,Gruppenphase,E,Ecuador,Curaçao,2026-06-21T02:00:00+02:00,Kansas City
35,Gruppenphase,F,Niederlande,Schweden,2026-06-20T19:00:00+02:00,Houston
36,Gruppenphase,F,Tunesien,Japan,2026-06-21T06:00:00+02:00,Monterrey
37,Gruppenphase,H,Uruguay,Kap Verde,2026-06-22T00:00:00+02:00,Miami
38,Gruppenphase,H,Spanien,Saudi-Arabien,2026-06-21T18:00:00+02:00,Atlanta
39,Gruppenphase,G,Belgien,IR Iran,2026-06-21T21:00:00+02:00,Los Angeles
40,Gruppenphase,G,Neuseeland,Ägypten,2026-06-22T03:00:00+02:00,Vancouver
41,Gruppenphase,I,Norwegen,Senegal,2026-06-23T02:00:00+02:00,New York/New Jersey
42,Gruppenphase,I,Frankreich,Irak,2026-06-22T23:00:00+02:00,Philadelphia
43,Gruppenphase,J,Argentinien,Österreich,2026-06-22T19:00:00+02:00,Dallas
44,Gruppenphase,J,Jordanien,Algerien,2026-06-23T05:00:00+02:00,San Francisco Bay Area
45,Gruppenphase,L,England,Ghana,2026-06-23T22:00:00+02:00,Boston
46,Gruppenphase,L,Panama,Kroatien,2026-06-24T01:00:00+02:00,Toronto
47,Gruppenphase,K,Portugal,Usbekistan,2026-06-23T19:00:00+02:00,Houston
48,Gruppenphase,K,Kolumbien,DR Kongo,2026-06-24T04:00:00+02:00,Guadalajara
49,Gruppenphase,C,Schottland,Brasilien,2026-06-25T00:00:00+02:00,Miami
50,Gruppenphase,C,Marokko,Haiti,2026-06-25T00:00:00+02:00,Atlanta
